,,r2,neg_mean_absolute_error,neg_root_mean_squared_error
Water_Absorption_%,NeuralNetRegressor,"(-9.374337043797789, 7.695146174713306)","(2.031784369811386, 0.2863208937763487)","(4.829429795416219, 1.219292682242954)"
Water_Absorption_%,KNeighborsRegressor,"(0.40436755727371637, 0.4041446844663902)","(0.4123750940572396, 0.0741671960866009)","(0.2823996156636826, 0.10979539135197405)"
Water_Absorption_%,GaussianProcessRegressor,"(0.514330063770312, 0.3681523366040254)","(0.35682915323136766, 0.10939458844284407)","(0.23846864258727943, 0.16951325894098393)"
Water_Absorption_%,XGBRegressor,"(0.4431709130734374, 0.4872206018342214)","(0.3955250257081759, 0.09722020392496937)","(0.2668073258631186, 0.16501684060857744)"
Water_Absorption_%,RandomForestRegressor,"(0.32681049095264747, 0.9081788013468385)","(0.39590519697558507, 0.10031100828129678)","(0.27645901766183084, 0.17237163374057834)"
Water_Absorption_%,Ridge,"(0.23809894797111014, 0.5213207498212479)","(0.4753439850966905, 0.10835025654503778)","(0.38104256091936894, 0.20198741617265442)"
Water_Absorption_%,Lasso,"(0.17556133417497632, 0.6785108687875239)","(0.47343149628821335, 0.1065331693075428)","(0.4114543761452135, 0.3184503465281595)"
Water_Absorption_%,ElasticNet,"(0.3616602783765532, 0.5377550753609925)","(0.4168767797390148, 0.10247949641757709)","(0.29822529841499734, 0.1638754753423123)"
Hardness,NeuralNetRegressor,"(-35.64750339356753, 23.388148881803914)","(117.10095599667565, 11.085979182586229)","(14360.19041825846, 2315.808442747991)"
Hardness,KNeighborsRegressor,"(0.5932845493902186, 0.25308438521545007)","(10.588667127659892, 4.207029412101564)","(237.86292467564962, 244.5528494781278)"
Hardness,GaussianProcessRegressor,"(0.4696527058956913, 0.47268579013953355)","(11.163922396077075, 4.083892284643284)","(252.46426365465626, 237.08527968221915)"
Hardness,XGBRegressor,"(0.47330190582237597, 0.41164800543637037)","(12.057805007392512, 5.766326363432854)","(294.03684344879287, 261.6608513719645)"
Hardness,RandomForestRegressor,"(0.5460951611760833, 0.2815833318766669)","(11.326025869417057, 4.258676422162755)","(234.80540300196145, 178.2713391984789)"
Hardness,Ridge,"(0.19359253358281317, 0.4334924836533474)","(14.511135935899265, 4.223549266898964)","(414.9124032574089, 300.54184704680875)"
Hardness,Lasso,"(0.38038944016672266, 0.2865946552605723)","(13.195346957714438, 3.5753160631470844)","(309.3687053873433, 186.32768172578994)"
Hardness,ElasticNet,"(0.16293659873297014, 0.7151149882365639)","(13.964321899965492, 4.166761054724904)","(389.8508234280933, 271.5748435626596)"
Thermal_Conductivity_(mW/m.K),NeuralNetRegressor,"(-2.1857222866395203, 1.6322832881596736)","(14.965498354694336, 6.803258816288411)","(514.1560045242613, 634.6155331566058)"
Thermal_Conductivity_(mW/m.K),KNeighborsRegressor,"(-0.0002343218930286217, 0.7273407558336359)","(9.498500074103092, 6.806717057260349)","(265.5458351229116, 458.48322249809837)"
Thermal_Conductivity_(mW/m.K),GaussianProcessRegressor,"(-0.6584722284776254, 2.0697494976449367)","(10.229717661912993, 6.805673454237798)","(304.16682592774987, 456.7584509432615)"
Thermal_Conductivity_(mW/m.K),XGBRegressor,"(0.14318413144702663, 0.32600918695850284)","(8.210075838610845, 5.579046278964914)","(225.72439710670773, 361.15576865845094)"
Thermal_Conductivity_(mW/m.K),RandomForestRegressor,"(-0.10803971571721052, 0.7167362507606395)","(8.943143513433085, 5.371769459673102)","(221.1937991374541, 350.09999217966026)"
Thermal_Conductivity_(mW/m.K),Ridge,"(-0.0832545565580323, 0.5931084440221512)","(9.22499185000809, 6.356228668378613)","(240.9184539019469, 426.98949109489456)"
Thermal_Conductivity_(mW/m.K),Lasso,"(-0.0528701450276692, 0.6285379702086777)","(9.124452359123088, 6.19831483144537)","(239.48526116771853, 433.45930587817065)"
Thermal_Conductivity_(mW/m.K),ElasticNet,"(0.049709593251041614, 0.5258137342670054)","(8.736283273448151, 6.61807983895536)","(243.68092373385943, 439.96865225204766)"
